Unique Error,Count
Error: Found 0 record! Empty response!,816
"Error: (psycopg2.errors.SyntaxError) syntax error at or near ""union""
LINE 10: union
         ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_mmse_score""
from tb_patient
inner join tb_patient_mmse_and_moca_scores
on tb_patient.uuid_patient = tb_patient_mmse_and_moca_scores.patient
where ""patient_mmse_score"" is not null
order by ""patient_mmse_score"" asc
limit 1

union

select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_mmse_score""
from tb_patient
inner join tb_patient_mmse_and_moca_scores
on tb_patient.uuid_patient = tb_patient_mmse_and_moca_scores.patient
where ""patient_mmse_score"" is not null
order by ""patient_mmse_score"" desc
limit 1;]
(Background on this error at: https://sqlalche.me/e/20/f405)",12
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""100m""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(substring(""medication_dosage"", 1, length(""medication_dosage"") - 2) as integer) > 100
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",6
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_dosage""::numeric > 100
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",5
"Error: (psycopg2.errors.SyntaxError) syntax error at or near ""no""
LINE 1: no questions requested.
        ^

[SQL: no questions requested.]
(Background on this error at: https://sqlalche.me/e/20/f405)",5
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""100m""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(substring(""medication_dosage"", 1, length(""medication_dosage"") - 2) as numeric) > 10
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",5
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(split_part(""medication_dosage"", ' ', 1) as numeric) > 10
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",4
"Error: (psycopg2.errors.SyntaxError) syntax error at or near ""no""
LINE 1: no questions were requested.
        ^

[SQL: no questions were requested.]
(Background on this error at: https://sqlalche.me/e/20/f405)",4
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""25mg""

[SQL: 
select ""uuid_patient"",""patient_code"", ""patient_first_name"",""patient_last_name"",array_agg(""phones"") filter (where phones <> '{}') as ""phones"",array_agg(""patient_email"") as ""patient_emails"",array_agg(""patient_visit_companion_phone"") as ""patient_visit_companion_phones"",array_agg(""patient_visit_companion_email"") as ""patient_visit_companion_emails"",array_agg(""medication_name"") as ""medication_names"",array_agg(""medication_dosage"") as ""medication_dosages""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_dosage""::numeric > 100
group by ""uuid_patient"", ""patient_code"",""patient_first_name"",""patient_last_name""
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",3
"Error: (psycopg2.errors.SyntaxError) syntax error at or near ""union""
LINE 8: union
        ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_bmi""
from tb_patient
where ""patient_bmi"" is not null
order by ""patient_bmi"" desc
limit 1

union

select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_bmi""
from tb_patient
where ""patient_bmi"" is not null
order by ""patient_bmi"" asc
limit 1;]
(Background on this error at: https://sqlalche.me/e/20/f405)",3
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""100m""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(substring(""medication_dosage"", 1, length(""medication_dosage"") - 2) as integer) > 50
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",2
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_date""
LINE 6: where ""medication_start_date"" >= 'specific_date'
                                         ^

[SQL: 
select ""uuid_patient"",""patient_code"",""patient_first_name"",""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_start_date"" >= 'specific_date'
group by ""uuid_patient"",""patient_code"",""patient_first_name"",""patient_last_name"";]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",2
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(split_part(""medication_dosage"", ' ', 1) as integer) > 50
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",2
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(split_part(""medication_dosage"", ' ', 1) as integer) > 100
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",2
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""50m""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""patient_bmi"" > 25
and cast(substring(""medication_dosage"", 1, length(""medication_dosage"") - 2) as integer) > 10
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.UndefinedColumn) column ""patient_diagnosis"" does not exist
LINE 4: where ""patient_diagnosis"" = 'alzheimer'
              ^

[SQL: 
select avg(""patient_weight_in_kg"") as ""average_weight"", avg(""patient_height_in_cm"") as ""average_height""
from tb_patient
where ""patient_diagnosis"" = 'alzheimer'
and ""patient_weight_in_kg"" is not null
and ""patient_height_in_cm"" is not null;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedFunction) function array_length(character varying, integer) does not exist
LINE 7: and array_length(""allergy_name"", 1) > 0
            ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", array_agg(""allergy_name"") as ""allergy_names"", ""patient_bmi""
from tb_patient
inner join tb_patients_allergies
on tb_patient.uuid_patient = tb_patients_allergies.patient
where ""patient_bmi"" > 30
and array_length(""allergy_name"", 1) > 0
group by ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_bmi"";]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedColumn) column ""medication_max_dosage"" does not exist
LINE 6: where cast(""medication_dosage"" as numeric) > cast(""medicatio...
                                                          ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(""medication_dosage"" as numeric) > cast(""medication_max_dosage"" as numeric)
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedTable) relation ""tb_patient_visit_companion"" does not exist
LINE 5: inner join tb_patient_visit_companion v on p.""uuid_patient"" ...
                   ^

[SQL: 
select distinct p.""uuid_patient"", p.""patient_code"", p.""patient_first_name"", p.""patient_last_name""
from tb_patient p
inner join tb_patient_medications m on p.""uuid_patient"" = m.patient
inner join tb_patient_visit_companion v on p.""uuid_patient"" = v.patient
where m.""medication_start_date"" < v.""patient_visit_companion_birthday""
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_date""
LINE 6: where ""appointment_date"" = 'specific_date'
                                   ^

[SQL: 
select ""uuid_patient"", ""patient_first_name"", ""patient_last_name"", ""phones"", ""patient_email""
from tb_patient
inner join tb_appointment_patients
on tb_patient.uuid_patient = tb_appointment_patients.patient
where ""appointment_date"" = 'specific_date'
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_start_date""
LINE 6: where ""medication_start_date"" >= 'specific_start_date'
                                         ^

[SQL: 
select ""uuid_patient"",""patient_code"", ""patient_first_name"",""patient_last_name"",array_agg(""phones"") filter (where phones <> '{}') as ""phones"",array_agg(""patient_email"") as ""patient_emails"",array_agg(""patient_visit_companion_phone"") as ""patient_visit_companion_phones"",array_agg(""patient_visit_companion_email"") as ""patient_visit_companion_emails"",array_agg(""medication_name"") as ""medication_names""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_start_date"" >= 'specific_start_date'
and ""medication_end_date"" < 'specific_end_date'
group by ""uuid_patient"", ""patient_code"",""patient_first_name"",""patient_last_name""
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific date""
LINE 7: and ""appointment_date"" = 'specific date'
                                 ^

[SQL: 
select ""uuid_patient"", ""patient_first_name"", ""patient_last_name"", ""phones"", ""patient_email""
from tb_patient
inner join tb_appointment_patients on tb_patient.uuid_patient = tb_appointment_patients.patient
where ""appointment_professional_first_name"" = 'specific professional first name'
and ""appointment_professional_last_name"" = 'specific professional last name'
and ""appointment_date"" = 'specific date'
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_date""
LINE 4: where ""appointment_date"" = 'specific_date'
                                   ^

[SQL: 
select distinct ""appointment_type""
from tb_appointment_patients
where ""appointment_date"" = 'specific_date']
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.UndefinedColumn) column ""patient_diagnosis"" does not exist
LINE 4: where ""patient_diagnosis"" = 'alzheimer'
              ^

[SQL: 
select avg(""patient_weight_in_kg"") as ""average_weight"", avg(""patient_height_in_cm"") as ""average_height"", avg(""patient_heart_rate"") as ""average_heart_rate""
from tb_patient
where ""patient_diagnosis"" = 'alzheimer'
and ""patient_weight_in_kg"" is not null
and ""patient_height_in_cm"" is not null
and ""patient_heart_rate"" is not null;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedFunction) operator does not exist: character varying >= date
LINE 8: and ""patient_potential_date"" >= current_date
                                     ^
HINT:  No operator matches the given name and argument types. You might need to add explicit type casts.

[SQL: 
select ""uuid_patient"",""patient_code"", ""patient_first_name"",""patient_last_name"",array_agg(""phones"") filter (where phones <> '{}') as ""phones"",array_agg(""patient_email"") as ""patient_emails"",array_agg(""patient_visit_companion_phone"") as ""patient_visit_companion_phones"",array_agg(""patient_visit_companion_email"") as ""patient_visit_companion_emails"",array_agg(""patient_treatment"") as ""patient_treatments"",array_agg(""medication_name"") as ""medication_names""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""patient_potential"" is not null
and ""patient_potential_date"" is not null
and ""patient_potential_date"" >= current_date
and ""medication_name"" is not null
group by ""uuid_patient"", ""patient_code"",""patient_first_name"",""patient_last_name""
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_date""
LINE 6: where ""medication_start_date"" >= 'specific_date'
                                         ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_start_date"" >= 'specific_date'
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_date""
LINE 4: where tb_appointment_patients.appointment_date = 'specific_d...
                                                         ^

[SQL: 
select count(distinct tb_appointment_patients.patient) as ""total_number_of_patients""
from tb_appointment_patients
where tb_appointment_patients.appointment_date = 'specific_date']
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.UndefinedFunction) operator does not exist: timestamp with time zone >= time without time zone
LINE 6: where ""appointment_date_start_time"" >= '09:00:00'::time and ...
                                            ^
HINT:  No operator matches the given name and argument types. You might need to add explicit type casts.

[SQL: 
select ""uuid_patient"", ""patient_first_name"", ""patient_last_name"", ""phones"", ""patient_email""
from tb_patient
inner join tb_appointment_patients
on tb_patient.uuid_patient = tb_appointment_patients.patient
where ""appointment_date_start_time"" >= '09:00:00'::time and ""appointment_date_start_time"" <= '12:00:00'::time
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedFunction) operator does not exist: character varying < date
LINE 4: where ""patient_potential_date"" < current_date
                                       ^
HINT:  No operator matches the given name and argument types. You might need to add explicit type casts.

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", ""patient_potential_date""
from tb_patient
where ""patient_potential_date"" < current_date
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_date""
LINE 6: where ""medication_start_date"" >= 'specific_date'
                                         ^

[SQL: 
select ""uuid_patient"",""patient_code"",""patient_first_name"",""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_start_date"" >= 'specific_date'
group by ""uuid_patient"",""patient_code"",""patient_first_name"",""patient_last_name""
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.UndefinedColumn) column p1.uuid_patient does not exist
LINE 7:     inner join tb_patient_medications p2 on p1.""uuid_patient...
                                                    ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
where ""uuid_patient"" in (
    select distinct p1.""uuid_patient""
    from tb_patient_medications p1
    inner join tb_patient_medications p2 on p1.""uuid_patient"" = p2.""uuid_patient""
    where p1.""medication_type"" = 'a' and p2.""medication_type"" = 'b'
)
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedFunction) function array_length(character varying, integer) does not exist
LINE 6: where array_length(""medication_name"", 1) > 0
              ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"", array_agg(""medication_name"") as ""medication_names""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where array_length(""medication_name"", 1) > 0
group by ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"";]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedColumn) column tb_patients_allergies.medication_name does not exist
LINE 6: where tb_patients_allergies.medication_name is not null;
              ^

[SQL: 
select count(distinct tb_patient.uuid_patient) as ""number_of_patients""
from tb_patient
inner join tb_patients_allergies
on tb_patient.uuid_patient = tb_patients_allergies.patient
where tb_patients_allergies.medication_name is not null;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedFunction) function avg(character varying) does not exist
LINE 2: ...ent_medications.patient) as ""number_of_patients"", avg(tb_pat...
                                                             ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.

[SQL: 
select count(distinct tb_patient_medications.patient) as ""number_of_patients"", avg(tb_patient_medications.medication_dosage) as ""average_dosage""
from tb_patient_medications
where tb_patient_medications.medication_name is not null;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedColumn) column p1.uuid_patient does not exist
LINE 7:     inner join tb_patient_medications p2 on p1.""uuid_patient...
                                                    ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
where ""uuid_patient"" in (
    select distinct p1.""uuid_patient""
    from tb_patient_medications p1
    inner join tb_patient_medications p2 on p1.""uuid_patient"" = p2.""uuid_patient""
    where p1.""medication_name"" similar to '%%don(e|é)p(e|é)zil%%'
    and p2.""medication_name"" similar to '%%m(e|é)mantine%%'
)
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(""medication_dosage"" as integer) > 10
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type integer: ""100m""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where cast(substring(""medication_dosage"", 1, length(""medication_dosage"") - 2) as integer) > 20
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.UndefinedColumn) column ""patient_treatments"" does not exist
LINE 8: and ""patient_treatments"" similar to '%alzheimer%'
            ^
HINT:  Perhaps you meant to reference the column ""tb_patient.patient_treatment"".

[SQL: 
select count(*) as ""count""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where (""medication_name"" similar to '%%m(e|é)mantine%%'
or ""patient_treatment"" similar to '%%m(e|é)mantine%%')
and ""patient_treatments"" similar to '%%alzheimer%%'
limit 1;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedColumn) column ""patient_mmse_score"" does not exist
LINE 2: ...vg(patient_weight_in_kg) as ""average_weight"", avg(patient_mm...
                                                             ^

[SQL: 
select avg(extract(year from age(patient_birth_date))) as ""average_age"", avg(patient_weight_in_kg) as ""average_weight"", avg(patient_mmse_score) as ""average_mmse_score""
from tb_patient
inner join tb_patients_allergies
on tb_patient.uuid_patient = tb_patients_allergies.patient
where patient_birth_date is not null
and patient_weight_in_kg is not null
and patient_mmse_score is not null;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""yyyy-mm-dd""
LINE 6: where ""medication_start_date"" < 'yyyy-mm-dd'
                                        ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_start_date"" < 'yyyy-mm-dd'
and ""medication_end_date"" > 'yyyy-mm-dd'
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_active"" = true
and ""medication_dosage""::numeric > 10
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.InvalidDatetimeFormat) invalid input syntax for type date: ""specific_date""
LINE 6: where ""medication_start_date"" >= 'specific_date'
                                         ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_start_date"" >= 'specific_date'
group by ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name"";]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.UndefinedColumn) column ""patient_weight_in_kg"" does not exist
LINE 7:     avg(patient_weight_in_kg) as average_weight,
                ^

[SQL: 
select 
    avg(patient_mmse_score) as average_mmse_score,
    stddev(patient_mmse_score) as mmse_score_standard_deviation,
    avg(patient_moca_score) as average_moca_score,
    stddev(patient_moca_score) as moca_score_standard_deviation,
    avg(patient_weight_in_kg) as average_weight,
    stddev(patient_weight_in_kg) as weight_standard_deviation,
    avg(patient_height_in_cm) as average_height,
    stddev(patient_height_in_cm) as height_standard_deviation
from tb_patient_mmse_and_moca_scores]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.UndefinedColumn) column p1.uuid_patient does not exist
LINE 7:     inner join tb_patient_medications p2 on p1.""uuid_patient...
                                                    ^

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
where ""uuid_patient"" in (
    select distinct p1.""uuid_patient""
    from tb_patient_medications p1
    inner join tb_patient_medications p2 on p1.""uuid_patient"" = p2.""uuid_patient""
    where p1.""medication_dosage"" = '10mg' and p2.""medication_dosage"" = '20mg'
)
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""25mg""

[SQL: 
select ""uuid_patient"",""patient_code"", ""patient_first_name"",""patient_last_name"",array_agg(""phones"") filter (where phones <> '{}') as ""phones"",array_agg(""patient_email"") as ""patient_emails"",array_agg(""patient_visit_companion_phone"") as ""patient_visit_companion_phones"",array_agg(""patient_visit_companion_email"") as ""patient_visit_companion_emails"",array_agg(""medication_name"") as ""medication_names"",array_agg(""medication_dosage"") as ""medication_dosages""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_dosage""::numeric > 10
group by ""uuid_patient"", ""patient_code"",""patient_first_name"",""patient_last_name""
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
"Error: (psycopg2.errors.GroupingError) aggregate function calls cannot be nested
LINE 2: select tb_patient.patient_city, avg(count(tb_patient_medicat...
                                            ^

[SQL: 
select tb_patient.patient_city, avg(count(tb_patient_medications.uuid_patient_medication)) as average_number_of_medications
from tb_patient
left join tb_patient_medications on tb_patient.uuid_patient = tb_patient_medications.patient
group by tb_patient.patient_city;]
(Background on this error at: https://sqlalche.me/e/20/f405)",1
"Error: (psycopg2.errors.InvalidTextRepresentation) invalid input syntax for type numeric: ""750mg""

[SQL: 
select ""uuid_patient"", ""patient_code"", ""patient_first_name"", ""patient_last_name""
from tb_patient
inner join tb_patient_medications
on tb_patient.uuid_patient = tb_patient_medications.patient
where ""medication_dosage""::numeric > 10
limit 500;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",1
